idea_id,student_id,idea_title,category,submission_date,status
I086,S022,Energy-Efficient Smart Buildings,Healthcare,2024-10-15,Submitted
I087,S050,AI-powered Resume Screening System,Sustainability,2025-09-18,Approved
I088,S012,Remote Learning Solutions for Education,Agriculture,2025-07-12,Submitted
I089,S013,AI-enabled Personal Assistant for the Elderly,Robotics,2025-06-27,Rejected
I090,S003,IoT-based Environmental Monitoring,Sustainability,2025-09-30,Submitted
I091,S045,Automated Financial Planning Tool,Sustainability,2025-09-26,Approved
I092,S011,AI-powered Image Recognition for Healthcare,Healthcare,2025-08-12,Rejected
I093,S023,Blockchain-based Supply Chain Management,AI/ML,2025-08-28,Rejected
I094,S021,AI-powered Learning Assistant for Students,Energy,2025-09-12,Approved
I095,S009,IoT-enabled Smart Waste Management,Healthcare,2025-08-21,Approved
I096,S002,Blockchain for Healthcare Records,Robotics,2024-12-03,Approved
I097,S045,Predictive Analytics for Student Performance,Agriculture,2025-09-08,Submitted
I098,S029,Smart Home Automation System,AI/ML,2025-02-18,Submitted
I099,S045,Automated Carbon Footprint Tracker,Finance,2025-06-08,Approved
I100,S021,AI-based Cybersecurity for Financial Institutions,Healthcare,2025-08-28,Rejected
I101,S021,3D-Printed Prosthetics,Sustainability,2025-02-24,Submitted
I102,S037,Energy-Efficient Smart Lighting System,Sustainability,2025-06-04,In Review
I103,S014,Blockchain-based Voting System,AI/ML,2024-12-01,Submitted
I104,S036,Smart Parking System using IoT,AI/ML,2025-09-01,Submitted
I105,S025,AI-based Speech Therapy App,Agriculture,2025-09-18,Submitted
I106,S005,Sustainable Farming using IoT Sensors,Agriculture,2025-09-01,In Review
I107,S046,IoT-based Traffic Management System,Sustainability,2024-11-19,In Review
I108,S002,AI-powered Personal Health Assistant,Robotics,2025-02-10,Submitted
I109,S003,AI-based Automated Essay Grading System,Robotics,2025-01-16,Rejected
I110,S007,Smart Glasses for Visually Impaired,Agriculture,2025-02-06,In Review
I111,S034,AI-driven Medical Diagnosis Tool,Robotics,2025-05-17,Rejected
I112,S029,Predictive Maintenance for Industrial Machinery,Energy,2025-04-23,Submitted
I113,S010,Smart Campus Solutions,Agriculture,2025-10-05,In Review
I114,S012,Smart Wearables for Fitness Monitoring,Energy,2025-08-02,Rejected
I115,S028,AI-based Fraud Detection in E-commerce,Sustainability,2025-08-11,Approved
I116,S032,Cloud-based Collaborative Platform for Research,Agriculture,2024-12-26,In Review
I117,S048,Energy-Efficient Smart Buildings,Robotics,2025-01-01,Approved
I118,S001,AI-powered Resume Screening System,Education,2025-10-07,Approved
I119,S026,Remote Learning Solutions for Education,Sustainability,2025-03-24,In Review
I120,S048,AI-enabled Personal Assistant for the Elderly,Education,2025-06-30,Approved
